text,category,severity
I am threatened with divorce over dowry disputes,Dowry Harassment,High
My husband ridicules me for not fulfilling family expectations,Dowry Harassment,Medium
I am coerced to provide cash and gifts repeatedly,Dowry Harassment,High
My in-laws criticize me for not bringing luxury items,Dowry Harassment,Medium
I feel emotionally drained due to constant financial pressure,Dowry Harassment,Medium
My husband pressures me to borrow money for dowry,Dowry Harassment,High
I am forced to satisfy repeated financial demands,Dowry Harassment,High
My in-laws threaten public humiliation if demands are not met,Dowry Harassment,High
"I am coerced to provide gold, cash, and other assets",Dowry Harassment,High
My husband constantly reminds me of family obligations,Dowry Harassment,Medium
I am pressured to provide more than agreed during marriage,Dowry Harassment,High
My in-laws ridicule my family for financial shortcomings,Dowry Harassment,Medium
I am forced to meet dowry expectations secretly,Dowry Harassment,High
My husband threatens divorce for not fulfilling demands,Dowry Harassment,High
I am coerced to give valuables repeatedly,Dowry Harassment,High
My in-laws pressure me to give more gifts constantly,Dowry Harassment,High
I feel trapped emotionally due to repeated dowry threats,Dowry Harassment,Medium
My husband ridicules me for not meeting family expectations,Dowry Harassment,Medium
I am pressured to meet impossible monetary demands,Dowry Harassment,High
My in-laws threaten public embarrassment if demands are ignored,Dowry Harassment,High
I am forced to provide extra financial support secretly,Dowry Harassment,High
My husband pressures me to borrow money to satisfy dowry,Dowry Harassment,High
I am coerced to meet repeated financial obligations,Dowry Harassment,High
My in-laws insult my family publicly for financial inadequacy,Dowry Harassment,Medium
I am emotionally blackmailed over monetary and property issues,Dowry Harassment,Medium
My husband humiliates me for insufficient dowry contributions,Dowry Harassment,Medium
I am forced to provide assets repeatedly to satisfy demands,Dowry Harassment,High
My in-laws pressure me for gifts during all occasions,Dowry Harassment,High
I am threatened with divorce and social embarrassment,Dowry Harassment,High
My husband constantly reminds me of family obligations,Dowry Harassment,Medium
I am coerced to provide valuables repeatedly,Dowry Harassment,High
My in-laws ridicule me publicly for financial shortcomings,Dowry Harassment,Medium
I am forced to meet dowry demands secretly,Dowry Harassment,High
My husband threatens legal action for not meeting demands,Dowry Harassment,High
I feel emotionally trapped due to constant dowry pressure,Dowry Harassment,Medium
My in-laws pressure me to satisfy impossible financial demands,Dowry Harassment,High
I am coerced to give money and gifts repeatedly,Dowry Harassment,High
My husband humiliates me publicly for insufficient contributions,Dowry Harassment,Medium
I am forced to provide valuables to satisfy repeated demands,Dowry Harassment,High
My in-laws threaten social humiliation for unmet expectations,Dowry Harassment,High
My parents beat me for minor mistakes,Child Abuse,High
I am forced to work at home instead of studying,Child Abuse,Medium
I am verbally insulted daily by my father,Child Abuse,Medium
My mother threatens to send me away if I disobey,Child Abuse,High
I am neglected when I am sick,Child Abuse,High
I am not allowed to eat properly at home,Child Abuse,High
I am physically punished for small errors,Child Abuse,High
My guardian insults me in front of relatives,Child Abuse,Medium
I am denied education because of family financial pressure,Child Abuse,High
I am constantly scared of being beaten,Child Abuse,High
My father shouts at me for asking questions,Child Abuse,Medium
I am locked in a room as punishment,Child Abuse,High
My parents ignore my emotional needs,Child Abuse,Medium
I am forced to do chores beyond my capacity,Child Abuse,Medium
I am called useless or worthless regularly,Child Abuse,Medium
My mother threatens me with harm if I misbehave,Child Abuse,High
I am not allowed to play or socialize,Child Abuse,Medium
I am insulted for being weak or clumsy,Child Abuse,Medium
My guardian restricts food as punishment,Child Abuse,High
I am forced to apologize repeatedly for small mistakes,Child Abuse,Medium
I am physically restrained when I resist,Child Abuse,High
My father uses threats to control me,Child Abuse,High
I am punished for being honest,Child Abuse,Medium
I am neglected emotionally when upset,Child Abuse,Medium
I am forced to do labor instead of attending school,Child Abuse,High
My parents mock me for poor performance,Child Abuse,Medium
I am denied basic needs as punishment,Child Abuse,High
I am physically hurt for not following instructions,Child Abuse,High
My guardian constantly shouts at me,Child Abuse,Medium
I am punished for trivial things,Child Abuse,Medium
I am humiliated in front of family members,Child Abuse,Medium
My father threatens me with severe harm,Child Abuse,High
I am forced to skip meals for punishment,Child Abuse,High
I am not allowed to express my feelings,Child Abuse,Medium
I am insulted for asking for help,Child Abuse,Medium
I am neglected when injured,Child Abuse,High
I am constantly criticized at home,Child Abuse,Medium
I am forced to work instead of resting,Child Abuse,Medium
My parents call me names that hurt,Child Abuse,Medium
I am punished physically for small mistakes,Child Abuse,High
I am denied medical attention when needed,Child Abuse,High
My guardian threatens me to control behavior,Child Abuse,High
I am prevented from playing with friends,Child Abuse,Medium
I am insulted for making mistakes at school,Child Abuse,Medium
I am forced to perform adult responsibilities,Child Abuse,Medium
I am punished for asking questions,Child Abuse,Medium
My father threatens me with physical harm,Child Abuse,High
I am denied love and affection,Child Abuse,Medium
I am forced to apologize for no reason,Child Abuse,Medium
I am beaten when I refuse chores,Child Abuse,High
I am constantly shouted at,Child Abuse,Medium
My mother humiliates me publicly,Child Abuse,Medium
I am forced to take blame for sibling’s mistakes,Child Abuse,Medium
I am physically hurt for being late,Child Abuse,High
I am denied rest as punishment,Child Abuse,Medium
I am neglected when crying,Child Abuse,High
I am threatened to remain silent,Child Abuse,Medium
My father insults my appearance,Child Abuse,Medium
I am forced to work beyond my age,Child Abuse,High
I am beaten for speaking out,Child Abuse,High
I am punished for not completing homework,Child Abuse,High
I am emotionally humiliated at home,Child Abuse,Medium
I am denied food when I misbehave,Child Abuse,High
I am forced to do chores at night,Child Abuse,Medium
I am insulted for asking questions,Child Abuse,Medium
I am physically punished for minor mistakes,Child Abuse,High
I am threatened when expressing feelings,Child Abuse,Medium
My guardian uses violence to scare me,Child Abuse,High
I am not allowed to rest properly,Child Abuse,Medium
I am forced to work for relatives,Child Abuse,High
I am insulted for not performing well,Child Abuse,Medium
I am threatened with severe punishment,Child Abuse,High
I am constantly criticized,Child Abuse,Medium
I am beaten when I resist chores,Child Abuse,High
My parents humiliate me publicly,Child Abuse,Medium
I am emotionally neglected,Child Abuse,Medium
I am forced to work instead of studying,Child Abuse,High
I am punished for being honest,Child Abuse,Medium
I am denied care when sick,Child Abuse,High
I am insulted for my mistakes,Child Abuse,Medium
I am forced to apologize repeatedly,Child Abuse,Medium
I am physically punished for small errors,Child Abuse,High
I am threatened with violence for disobedience,Child Abuse,High
I am denied social interaction,Child Abuse,Medium
I am constantly insulted,Child Abuse,Medium
I am forced to take blame for others,Child Abuse,Medium
I am beaten for minor misbehavior,Child Abuse,High
I am neglected emotionally,Child Abuse,Medium
I am forced to work instead of resting,Child Abuse,Medium
I am insulted publicly,Child Abuse,Medium
I am physically restrained for resistance,Child Abuse,High
I am denied care when injured,Child Abuse,High
I am emotionally humiliated,Child Abuse,Medium
I am forced to do chores at night,Child Abuse,Medium
I am punished for expressing feelings,Child Abuse,Medium
I am beaten for not following instructions,Child Abuse,High
I am threatened with severe punishment,Child Abuse,High
I am constantly criticized for behavior,Child Abuse,Medium
I am insulted by guardians,Child Abuse,Medium
I am forced to perform adult tasks,Child Abuse,Medium
I am denied love and care,Child Abuse,Medium
I am beaten for minor mistakes,Child Abuse,High
I am neglected when sick,Child Abuse,High
I am constantly threatened,Child Abuse,Medium
I am forced to apologize unnecessarily,Child Abuse,Medium
I am physically punished for small mistakes,Child Abuse,High
I am emotionally intimidated,Child Abuse,Medium
I am denied rest,Child Abuse,Medium
I am forced to work for adults,Child Abuse,High
I am insulted for not performing well,Child Abuse,Medium
I am threatened for minor misbehavior,Child Abuse,Medium
I am beaten for not obeying,Child Abuse,High
I am neglected emotionally and physically,Child Abuse,High
I am forced to do excessive chores,Child Abuse,Medium
I am insulted for asking questions,Child Abuse,Medium
I am physically punished for minor errors,Child Abuse,High
I am emotionally humiliated,Child Abuse,Medium
I am forced to work instead of studying,Child Abuse,High
I am denied proper care when sick,Child Abuse,High
I am beaten for minor mistakes,Child Abuse,High
I am constantly insulted,Child Abuse,Medium
I am forced to apologize repeatedly,Child Abuse,Medium
I am threatened with violence,Child Abuse,High
I am denied love and care,Child Abuse,Medium
I am punished for expressing feelings,Child Abuse,Medium
I am physically restrained for minor resistance,Child Abuse,High
I am neglected when I cry,Child Abuse,High
I am forced to do adult tasks,Child Abuse,Medium
I am insulted publicly,Child Abuse,Medium
I am constantly beaten for small mistakes,Child Abuse,High
I am emotionally neglected,Child Abuse,Medium
I am forced to work beyond capacity,Child Abuse,High
I am insulted for mistakes,Child Abuse,Medium
I am punished unnecessarily,Child Abuse,Medium
I am physically hurt for minor misbehavior,Child Abuse,High
I am threatened constantly,Child Abuse,Medium
I am denied rest and care,Child Abuse,Medium
I am forced to take blame for siblings,Child Abuse,Medium
I am beaten for disobedience,Child Abuse,High
I am emotionally humiliated daily,Child Abuse,Medium
I am forced to do chores instead of studying,Child Abuse,High
I am neglected when ill,Child Abuse,High
I am insulted constantly,Child Abuse,Medium
I am forced to apologize repeatedly,Child Abuse,Medium
I am physically punished,Child Abuse,High
I am threatened with severe punishment,Child Abuse,High
I am denied love and emotional support,Child Abuse,Medium
I am forced to do adult tasks,Child Abuse,Medium
I am insulted publicly,Child Abuse,Medium
I am beaten for minor mistakes,Child Abuse,High
I am neglected emotionally,Child Abuse,Medium
I am forced to work beyond my capacity,Child Abuse,High
I am insulted for minor errors,Child Abuse,Medium
I am punished unnecessarily,Child Abuse,Medium
I am physically hurt for small mistakes,Child Abuse,High
I am constantly threatened,Child Abuse,Medium
I am denied rest and care,Child Abuse,Medium
I am forced to take blame for sibling mistakes,Child Abuse,Medium
I am beaten for disobedience,Child Abuse,High
A stranger follows me home every day,Stalking/Threat,High
I receive threatening messages online,Stalking/Threat,High
Someone repeatedly calls me at odd hours,Stalking/Threat,Medium
I am being watched when I leave my house,Stalking/Threat,High
A person sends me emails threatening harm,Stalking/Threat,High
I am approached repeatedly by someone I told to leave me alone,Stalking/Threat,Medium
Someone takes photos of me without consent,Stalking/Threat,Medium
I receive anonymous threats about my safety,Stalking/Threat,High
A colleague follows me after work,Stalking/Threat,Medium
Someone loiters near my house constantly,Stalking/Threat,High
I am threatened verbally in public places,Stalking/Threat,Medium
Someone threatens to damage my property,Stalking/Threat,High
I am repeatedly harassed by a person from social media,Stalking/Threat,Medium
A stranger waits outside my workplace,Stalking/Threat,High
Someone threatens me through phone calls,Stalking/Threat,High
I receive repeated messages demanding my attention,Stalking/Threat,Medium
A person repeatedly shows up at my school,Stalking/Threat,Medium
Someone threatens to harm my family,Stalking/Threat,High
I feel unsafe due to a person following me,Stalking/Threat,High
Someone is tracking my movements online,Stalking/Threat,High
I receive threatening letters anonymously,Stalking/Threat,High
A person repeatedly blocks my way on streets,Stalking/Threat,Medium
Someone threatens me physically at home,Stalking/Threat,High
I am constantly watched when I go out,Stalking/Threat,High
A person threatens me through social media posts,Stalking/Threat,Medium
I receive repeated unwanted gifts from someone,Stalking/Threat,Medium
Someone threatens to harm my pets,Stalking/Threat,Medium
I am harassed through text messages,Stalking/Threat,Medium
A stranger waits for me near bus stops,Stalking/Threat,High
Someone repeatedly follows me while shopping,Stalking/Threat,Medium
I receive calls with threats of violence,Stalking/Threat,High
A person constantly appears where I am,Stalking/Threat,Medium
Someone threatens me verbally in public,Stalking/Threat,Medium
I am stalked online through social media accounts,Stalking/Threat,High
A stranger watches me at night,Stalking/Threat,High
Someone threatens to leak personal information,Stalking/Threat,High
I receive repeated messages asking for meetings,Stalking/Threat,Medium
A person waits near my school repeatedly,Stalking/Threat,Medium
Someone threatens me by following me home,Stalking/Threat,High
I feel scared due to constant threats,Stalking/Threat,High
Someone stalks me while I walk in my neighborhood,Stalking/Threat,High
I receive anonymous calls threatening harm,Stalking/Threat,High
A person repeatedly shows up at my office,Stalking/Threat,Medium
Someone threatens my safety directly,Stalking/Threat,High
I am stalked through phone GPS tracking,Stalking/Threat,High
Someone threatens me via messages on apps,Stalking/Threat,Medium
I am followed when leaving work,Stalking/Threat,Medium
A person threatens me in public spaces,Stalking/Threat,Medium
Someone watches me when I am outside,Stalking/Threat,High
I receive repeated threatening emails,Stalking/Threat,High
A person constantly stalks me physically,Stalking/Threat,High
Someone threatens me verbally in my neighborhood,Stalking/Threat,Medium
I am monitored online by someone repeatedly,Stalking/Threat,High
Someone follows me to social events,Stalking/Threat,Medium
I receive repeated threats for not responding,Stalking/Threat,Medium
A person blocks my route repeatedly,Stalking/Threat,Medium
Someone threatens to harm me through calls,Stalking/Threat,High
I am constantly followed by a stranger,Stalking/Threat,High
Someone threatens to reveal my personal information,Stalking/Threat,High
I feel unsafe due to repeated stalking,Stalking/Threat,High
Someone follows me home daily,Stalking/Threat,High
I receive threats from someone unknown,Stalking/Threat,High
A person waits outside my office repeatedly,Stalking/Threat,Medium
Someone stalks me online through photos and tags,Stalking/Threat,High
I am verbally threatened in public repeatedly,Stalking/Threat,Medium
A stranger waits near my house at night,Stalking/Threat,High
Someone threatens to harm my family members,Stalking/Threat,High
I am stalked through my social media posts,Stalking/Threat,High
A person constantly watches my movements,Stalking/Threat,High
Someone threatens me if I refuse to meet them,Stalking/Threat,High
I feel unsafe due to persistent stalking,Stalking/Threat,High
Someone tracks my location without permission,Stalking/Threat,High
I am threatened verbally and emotionally,Stalking/Threat,Medium
A person constantly follows me at work,Stalking/Threat,Medium
Someone threatens me online daily,Stalking/Threat,Medium
I am stalked during travel by unknown individuals,Stalking/Threat,High
Someone sends repeated threatening calls and messages,Stalking/Threat,High
I am constantly monitored in public areas,Stalking/Threat,High
A stranger follows me during evening walks,Stalking/Threat,High
Someone threatens to physically harm me,Stalking/Threat,High
I receive anonymous threats through letters,Stalking/Threat,High
Someone stalks me near my school repeatedly,Stalking/Threat,Medium
I feel scared due to constant online monitoring,Stalking/Threat,High
Someone threatens me through repeated messages,Stalking/Threat,Medium
I am stalked by a person I asked to leave me alone,Stalking/Threat,High
A stranger waits outside my office frequently,Stalking/Threat,Medium
Someone threatens me physically if I refuse,Stalking/Threat,High
I am followed while traveling by unknown person,Stalking/Threat,High
Someone stalks me online through private accounts,Stalking/Threat,High
I receive repeated messages threatening harm,Stalking/Threat,High
A person constantly monitors my daily routine,Stalking/Threat,High
Someone threatens me through phone calls regularly,Stalking/Threat,High
I feel unsafe due to persistent stalking,Stalking/Threat,High
Someone follows me to social gatherings repeatedly,Stalking/Threat,Medium
I am stalked physically and online,Stalking/Threat,High
Someone threatens me verbally and emotionally,Stalking/Threat,Medium
I am constantly monitored by someone unknown,Stalking/Threat,High
A person waits near my house daily,Stalking/Threat,High
Someone threatens my safety repeatedly,Stalking/Threat,High
I am stalked through social media constantly,Stalking/Threat,High
Someone follows me to work repeatedly,Stalking/Threat,Medium
I receive repeated threats through messages,Stalking/Threat,High
A person constantly stalks me at home,Stalking/Threat,High
Someone threatens my family if I refuse,Stalking/Threat,High
I am monitored online and offline,Stalking/Threat,High
Someone follows me everywhere I go,Stalking/Threat,High
I feel unsafe due to repeated threats,Stalking/Threat,High
Someone stalks me during daily routines,Stalking/Threat,High
I am threatened physically and verbally,Stalking/Threat,High
A stranger follows me repeatedly to intimidate,Stalking/Threat,High
Someone sends repeated threatening emails,Stalking/Threat,High
I am constantly watched by unknown individuals,Stalking/Threat,High
Someone threatens me via social media daily,Stalking/Threat,High
I am stalked constantly in public and online,Stalking/Threat,High
Someone threatens me if I refuse meetings,Stalking/Threat,High
I feel unsafe due to repeated physical stalking,Stalking/Threat,High
Someone monitors my movements persistently,Stalking/Threat,High
I am stalked online and offline by same person,Stalking/Threat,High
Someone sends threats repeatedly through messages and calls,Stalking/Threat,High
I am stalked while traveling and at home,Stalking/Threat,High
Someone threatens me continuously,Stalking/Threat,High
I feel unsafe due to repeated stalking incidents,Stalking/Threat,High
Someone follows me to intimidate or scare,Stalking/Threat,High
I receive repeated threats daily,Stalking/Threat,High
Someone monitors my online activity constantly,Stalking/Threat,High
"I am stalked in public, home, and online",Stalking/Threat,High
Someone threatens me verbally and physically repeatedly,Stalking/Threat,High
I feel unsafe daily due to persistent stalking,Stalking/Threat,High
A stranger touched me inappropriately on public transport,Sexual Assault,High
I was molested at a party by a known person,Sexual Assault,High
My colleague made unwanted sexual advances at work,Sexual Assault,High
I received explicit messages from someone I barely know,Sexual Assault,Medium
A family member forced physical intimacy,Sexual Assault,High
I was threatened to stay silent about sexual abuse,Sexual Assault,High
Someone tried to kiss me against my will,Sexual Assault,High
A person groped me in a crowded place,Sexual Assault,High
I am forced to tolerate sexual comments at work,Sexual Assault,Medium
A stranger followed me with sexual intent,Sexual Assault,High
I received unwanted sexual images online,Sexual Assault,Medium
My partner forced sexual acts without consent,Sexual Assault,High
I was harassed sexually by a teacher,Sexual Assault,High
Someone exposed private sexual content of mine,Sexual Assault,High
I was coerced to send sexual images,Sexual Assault,High
A colleague repeatedly made sexual jokes at me,Sexual Assault,Medium
I was groped in a public park,Sexual Assault,High
Someone tried to touch me while I was asleep,Sexual Assault,High
I received threats after rejecting sexual advances,Sexual Assault,High
A family friend attempted sexual assault,Sexual Assault,High
I was molested on my way home,Sexual Assault,High
Someone made sexual advances at school,Sexual Assault,High
I was threatened with sexual exploitation,Sexual Assault,High
My ex-partner forced sexual acts,Sexual Assault,High
I am constantly harassed sexually at workplace,Sexual Assault,High
Someone stalks me with sexual intent,Sexual Assault,High
I was physically assaulted sexually in a bus,Sexual Assault,High
A stranger tried to assault me in a park,Sexual Assault,High
I received persistent sexual messages online,Sexual Assault,Medium
Someone touched me inappropriately at a social event,Sexual Assault,High
I was coerced into sexual acts by a known person,Sexual Assault,High
My boss tried to touch me sexually,Sexual Assault,High
Someone threatened to share sexual content of mine,Sexual Assault,High
I was molested by a relative,Sexual Assault,High
Someone forced sexual activity at home,Sexual Assault,High
I received unwanted sexual advances online,Sexual Assault,Medium
A stranger tried to assault me in public,Sexual Assault,High
I was sexually harassed at my college,Sexual Assault,High
Someone forced sexual acts under threats,Sexual Assault,High
I am threatened sexually by a coworker,Sexual Assault,High
Someone tried to kiss me forcefully,Sexual Assault,High
I received sexual threats from an acquaintance,Sexual Assault,High
A person groped me in public,Sexual Assault,High
I was coerced to participate in sexual activity,Sexual Assault,High
My partner forced sexual activity without consent,Sexual Assault,High
I received sexual messages after rejecting advances,Sexual Assault,Medium
Someone exposed themselves to me forcibly,Sexual Assault,High
I was molested at a social gathering,Sexual Assault,High
A colleague made sexual remarks continuously,Sexual Assault,Medium
I was threatened after refusing sexual favors,Sexual Assault,High
Someone attempted sexual assault at my workplace,Sexual Assault,High
I received persistent sexual calls,Sexual Assault,Medium
A stranger touched me inappropriately in public,Sexual Assault,High
I was coerced into sexual activity by threats,Sexual Assault,High
Someone stalked me with sexual intentions,Sexual Assault,High
I received unsolicited sexual content online,Sexual Assault,Medium
A known person forced sexual acts,Sexual Assault,High
I was harassed sexually by a senior at work,Sexual Assault,High
Someone made continuous sexual comments,Sexual Assault,Medium
I was molested at a friend’s place,Sexual Assault,High
A stranger tried to touch me sexually,Sexual Assault,High
I received sexual threats after refusing advances,Sexual Assault,High
Someone groped me in public transport,Sexual Assault,High
I was forced to participate in sexual activity by family member,Sexual Assault,High
Someone tried to sexually assault me at home,Sexual Assault,High
I received unwanted sexual advances repeatedly,Sexual Assault,Medium
A stranger stalked me with sexual intent,Sexual Assault,High
I was coerced into sending sexual content,Sexual Assault,High
Someone harassed me sexually at college,Sexual Assault,High
I received persistent sexual emails,Sexual Assault,Medium
A colleague touched me inappropriately,Sexual Assault,High
I was threatened after rejecting sexual acts,Sexual Assault,High
Someone forced sexual activity under threat,Sexual Assault,High
I received sexual advances from a family member,Sexual Assault,High
A stranger attempted sexual assault repeatedly,Sexual Assault,High
I was groped by someone I know,Sexual Assault,High
Someone tried to kiss me against my will,Sexual Assault,High
I received continuous sexual messages online,Sexual Assault,Medium
A senior attempted sexual assault at workplace,Sexual Assault,High
I was coerced into sexual activity by partner,Sexual Assault,High
Someone threatened me sexually for refusing,Sexual Assault,High
I was harassed sexually in public,Sexual Assault,High
A stranger followed me with sexual intentions,Sexual Assault,High
I was forced to participate in sexual acts,Sexual Assault,High
Someone tried to molest me at night,Sexual Assault,High
I received sexual threats repeatedly,Sexual Assault,High
A known person groped me,Sexual Assault,High
I was coerced to send sexual images,Sexual Assault,High
Someone stalked me with sexual intent,Sexual Assault,High
I received continuous sexual messages,Sexual Assault,Medium
A family member forced sexual acts,Sexual Assault,High
I was molested at a friend’s gathering,Sexual Assault,High
Someone threatened me to accept sexual advances,Sexual Assault,High
I received unsolicited sexual content,Sexual Assault,Medium
A stranger attempted sexual assault on the street,Sexual Assault,High
I was forced to participate in sexual activity,Sexual Assault,High
Someone touched me sexually without consent,Sexual Assault,High
I received sexual threats online,Sexual Assault,Medium
A colleague made repeated sexual remarks,Sexual Assault,Medium
I was coerced into sexual activity by acquaintance,Sexual Assault,High
Someone tried to assault me at my home,Sexual Assault,High
I received sexual threats from a stranger,Sexual Assault,High
A known person forced sexual acts repeatedly,Sexual Assault,High
I was molested at a public place,Sexual Assault,High
Someone stalked me online and offline,Sexual Assault,High
I received unwanted sexual advances repeatedly,Sexual Assault,Medium
A stranger groped me in public,Sexual Assault,High
I was threatened with sexual harm by family member,Sexual Assault,High
Someone tried to kiss me forcibly,Sexual Assault,High
I received sexual harassment messages online,Sexual Assault,Medium
A colleague touched me inappropriately at office,Sexual Assault,High
I was coerced into sexual activity at a party,Sexual Assault,High
Someone threatened me sexually after refusal,Sexual Assault,High
I was harassed sexually by a known person,Sexual Assault,High
A stranger tried sexual assault at night,Sexual Assault,High
I received unwanted sexual calls repeatedly,Sexual Assault,Medium
Someone molested me in public,Sexual Assault,High
I was coerced into sending sexual content,Sexual Assault,High
A known person forced sexual acts,Sexual Assault,High
I received persistent sexual threats,Sexual Assault,High
A stranger stalked me physically,Sexual Assault,High
I was groped at a social gathering,Sexual Assault,High
Someone made unwanted sexual advances,Sexual Assault,Medium
I was threatened with sexual harm by stranger,Sexual Assault,High
A colleague harassed me sexually continuously,Sexual Assault,Medium
I was coerced into sexual acts repeatedly,Sexual Assault,High
Someone stalked me online and threatened harm,Sexual Assault,High
I received sexual threats after refusal,Sexual Assault,High
A stranger forced sexual acts,Sexual Assault,High
I was groped by a family acquaintance,Sexual Assault,High
Someone sent sexual images without consent,Sexual Assault,High
I was coerced into sexual activity by stranger,Sexual Assault,High
A known person stalked me with sexual intent,Sexual Assault,High
I received continuous sexual harassment,Sexual Assault,Medium
A colleague forced sexual activity,Sexual Assault,High
I was threatened sexually after rejecting advances,Sexual Assault,High
Someone touched me inappropriately at night,Sexual Assault,High
I was coerced to send sexual images repeatedly,Sexual Assault,High
A stranger stalked me physically and online,Sexual Assault,High
I received unwanted sexual messages daily,Sexual Assault,Medium
Someone forced sexual acts repeatedly,Sexual Assault,High
I was molested at a friend’s party,Sexual Assault,High
A known person threatened sexual harm,Sexual Assault,High
I was stalked by stranger continuously,Sexual Assault,High
Someone attempted sexual assault repeatedly,Sexual Assault,High
I received repeated sexual harassment online,Sexual Assault,Medium
A colleague made sexual advances repeatedly,Sexual Assault,High
I was coerced into sexual activity by partner,Sexual Assault,High
Someone sent threatening sexual messages,Sexual Assault,High
I was groped by someone I barely knew,Sexual Assault,High
A stranger attempted sexual assault,Sexual Assault,High
I received continuous sexual harassment calls,Sexual Assault,Medium
Someone forced sexual acts under threat,Sexual Assault,High
I was stalked physically and online,Sexual Assault,High
A known person threatened sexual harm repeatedly,Sexual Assault,High
I received sexual threats continuously,Sexual Assault,High
Someone coerced me into sexual activity repeatedly,Sexual Assault,High
I was groped in public repeatedly,Sexual Assault,High
A stranger forced sexual activity,Sexual Assault,High
I received sexual threats from an acquaintance,Sexual Assault,High
Someone stalked me continuously,Sexual Assault,High
I was molested at a social gathering repeatedly,Sexual Assault,High
A colleague made sexual advances,Sexual Assault,High
I was threatened with sexual harm repeatedly,Sexual Assault,High
Someone forced sexual acts continuously,Sexual Assault,High
I received repeated sexual harassment messages,Sexual Assault,Medium
A stranger stalked me physically and online,Sexual Assault,High
I was coerced into sexual activity repeatedly,Sexual Assault,High
My colleague sent threatening messages online,Cyber Crime,Medium
A stranger followed me home multiple times,Stalking/Threat,High
I was forced to apologize for minor mistakes at home,Domestic Violence,Medium
Someone touched me inappropriately at a public event,Sexual Assault,High
I am forced to do household work instead of studying,Child Abuse,High
A coworker constantly makes sexual remarks,Workplace Harassment,Medium
My father threatened to harm me if I told anyone,Domestic Violence,High
Someone hacked my social media account and posted private photos,Cyber Crime,High
I was stalked online after rejecting someone’s advances,Stalking/Threat,High
My sister was physically punished for minor mistakes,Child Abuse,High
A stranger tried to assault me at night,Sexual Assault,High
My boss constantly insults me publicly,Workplace Harassment,Medium
Someone demanded money threatening to leak my private info,Cyber Crime,High
I was verbally insulted and restricted at home,Domestic Violence,Medium
A colleague blocked my way repeatedly at work,Workplace Harassment,Medium
I was molested by a known person at a gathering,Sexual Assault,High
Someone threatened my family to force me to obey,Stalking/Threat,High
I am forced to do labor instead of attending school,Child Abuse,High
My husband shouts and hits me for small issues,Domestic Violence,High
I received unwanted sexual messages from a stranger online,Sexual Assault,Medium
A stranger followed me while walking to school,Stalking/Threat,High
My coworker spreads false rumors about me at work,Workplace Harassment,Medium
